Entity Id,Entity Name,Entity Type,Entity Definition,Entity Row Count
{24BBBFD0-9113-4431-BF65-EA4FE0D0BF09}+00000000,QnA,Dependent,,
{39352E0A-4CC9-4293-93DB-59BF67A10AAA}+00000000,게시물,,,
{80B17A43-95A1-4D0A-868C-ED6C15E128CD}+00000000,게시판,Independent,,
{2B73C115-57A9-434B-8535-AC19813D0299}+00000000,나만의팁,Dependent,,
{D5AC7BD8-5A88-4FC9-93DB-017F42A62F82}+00000000,레시피,,,
{4A2C98EC-E7C7-438B-A6F2-152F9A755068}+00000000,레시피재료,,,
{B4FA7EBD-9AAF-40AD-8D6D-F1C5C568C39E}+00000000,만남의광장,,,
{412F36DB-9A18-4D84-B56A-239338A3146E}+00000000,사진,,,
{386B5255-C91E-4B0A-98E9-DCA203C3BB4B}+00000000,식자재,Independent,,
{200B25F9-EDBB-45D8-8480-5B26FFC64225}+00000000,자유게시판,Dependent,,
{A4A1BA2A-EF4E-43DD-B167-E6EBBBC479C0}+00000000,즐겨찾기,,,
{8A399E30-22C1-467C-84F1-5A7B1AFCD9B1}+00000000,추천베스트,,,
{F0172B9C-E32A-4B0F-A749-B0763333A910}+00000000,회원,Independent,,
